-11839.77	13190.64	 3438.00	18055.27	 2198.51	  182.95	2	3	38263280

-16340.45	 5902.26	 3414.00	17706.00	 2669.00	  185.29	3	1	38263570

-16284.24	 5346.70	 3379.00	17469.44	 2697.05	  185.88	1	4	38263650

-10930.46	13574.58	 3246.00	17727.97	 2147.36	  175.84	1	5	38263720

-11296.02	13395.47	 3297.00	17830.00	 2169.00	  177.60	3	2	38263730

-4806.39	17537.28	 3622.00	18541.21	 1755.44	  187.75	1	6	38263780

-4002.31	17993.82	 3364.00	18738.00	 1709.00	  172.37	3	3	38263890

 6585.88	19323.86	 3527.00	20717.75	 1186.33	  163.36	1	1	38263870

 6572.87	19396.42	 3393.00	20759.00	 1188.00	  156.78	3	4	38264070

-15670.03	 5767.81	 3496.00	17059.88	 2663.21	  197.09	0	4	38264050

-10783.12	13024.88	 3330.00	17234.04	 2160.35	  185.68	0	7	38264070

-4094.90	17771.37	 3454.00	18561.25	 1716.26	  178.74	0	8	38264120

 6697.73	19279.85	 3241.00	20665.82	 1180.72	  150.38	0	6	38264200

-15802.20	 5547.64	 3234.00	17057.10	 2677.59	  182.16	2	2	38265230

-4436.52	17143.57	 3506.00	18052.06	 1741.82	  186.65	2	8	38265270

-15839.70	 5815.32	 3407.00	17214.00	 2664.00	  190.26	3	1	38265580

-15291.77	 6067.60	 3362.00	16791.58	 2639.29	  192.50	1	4	38265660

-11024.53	12957.12	 3201.00	17311.08	 2173.21	  177.60	1	5	38265730

-10983.28	13052.31	 3183.00	17353.00	 2168.00	  176.16	3	2	38265760

-3846.39	17424.44	 3675.00	18218.43	 1707.47	  193.96	1	6	38265780

 6651.97	18913.07	 3585.00	20366.77	 1177.04	  168.97	1	1	38265870

-3819.35	17605.67	 3388.00	18331.00	 1704.00	  177.51	3	3	38265900

 6590.27	18988.68	 3392.00	20384.00	 1181.00	  159.65	3	4	38266070

-15119.67	 5623.03	 3447.00	16495.60	 2660.00	  201.03	0	4	38266070

-10475.93	12759.53	 3356.00	16846.77	 2156.45	  191.51	0	7	38266090

 6869.03	18627.79	 3340.00	20132.91	 1162.64	  159.16	0	6	38266210

-15468.53	 5532.70	 3374.00	16771.11	 2671.99	  193.43	2	2	38267240

-4257.75	16687.66	 3455.00	17565.41	 1738.55	  189.06	2	8	38267270

-10959.39	12754.57	 3267.00	17130.69	 2177.85	  183.24	2	9	38267290

-15284.31	 5647.77	 3413.00	16648.00	 2662.00	  197.17	3	1	38267570

-14970.73	 5515.55	 3310.00	16294.18	 2662.92	  195.34	1	4	38267660

-10174.61	12895.93	 3264.00	16747.58	 2137.88	  187.31	1	5	38267720

-10552.11	12755.31	 3238.00	16868.00	 2160.00	  184.45	3	2	38267750

 6833.65	18375.39	 3496.00	19914.21	 1160.00	  168.51	1	1	38267870

-3678.77	17130.75	 3260.00	17822.00	 1702.00	  175.66	3	3	38267890

 6513.82	18517.63	 3322.00	19909.00	 1177.00	  160.09	3	4	38268070

-14547.37	 5528.87	 3433.00	15936.75	 2653.17	  207.33	0	4	38268090

-10374.58	12513.30	 3339.00	16594.08	 2161.03	  193.47	0	7	38268100

-3013.74	16515.66	 3447.00	17138.60	 1672.36	  193.38	0	10	38268140

 7153.58	17774.87	 3405.00	19460.57	 1134.62	  167.95	0	6	38268200

-14960.83	 5296.44	 3391.00	16228.91	 2675.08	  201.01	2	2	38269220

